width,Stochastic mse,Greedy mse
4,0.1783558451068063,0.17640222877054795
8,0.17050690827799334,0.16904417950874398
12,0.20572807676009647,0.1975372140510098
16,0.19862214255199687,0.19959870693717321
20,0.20035353152931643,0.19798395708089522
24,0.20019613938354477,0.19925422050343658
28,0.20238813274240505,0.19781445744460519
32,0.19954564113485274,0.19555019001809795
36,0.20020376304266702,0.19856535963532662
40,0.1972227424853892,0.1942867508353398
44,0.2022024761500266,0.19860265326763346
48,0.19712392688694938,0.19774285864163663
52,0.19506760240658583,0.19475019877193533
56,0.1960657779491762,0.19678365830492775
60,0.19175324472732125,0.1912360605667617
64,0.19637627254989823,0.19773590186927548
68,0.19486406966889025,0.1944937840729734
