width,Stochastic mse,Greedy mse
4,3.1735814638706015,3.1291356600042164
8,3.248364988294276,3.183639285243572
12,3.241004593435198,3.1504147641147573
16,3.241890688572887,3.1591009403345116
20,3.2632976695664033,3.1619699186810424
24,3.2055375015826595,3.1712470839670686
28,3.2484310730906927,3.1615483606015458
32,3.1903904233527767,3.1784786997756482
36,3.1786888832537796,3.164312558599446
40,3.233194319642406,3.1702332109447786
44,3.191826546601267,3.159491967012659
48,3.312657379238457,3.1723971985483765
52,3.1778347420732946,3.173742748483281
56,3.2093320917747494,3.1763262803641052
60,3.3074218650563925,3.164913606512267
64,3.2061107662330284,3.1753078908982943
68,3.242182124336434,3.1689813241937546
